break_sd,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 
HLY_F,AT	60.4 d	60.1 	61 	61.5 	59.7 bd	60.8 	60.7 	60.3 	62.5 
HLY_F,BE	58.4 	62.3 bd	63.2 	63.9 	64.2 	63.7 	62.6 	63.6 	65.4 
HLY_F,BG	: 	: 	71.9 d	73.9 	65.7 bd	65.9 	67.1 	65.9 	65.7 
HLY_F,CH	: 	: 	: 	: 	64.6 	63 	63.3 	64.7 	67.6 
HLY_F,CY	: 	58.2 d	63.4 bd	62.9 	65.4 bd	65.6 	64.2 d	61 	64.0 
HLY_F,CZ	: 	60 d	59.9 	63.3 bd	63.4 	62.7 	64.5 	63.6 	64.1 
HLY_F,DE	: 	54.8 	58.3 bd	58.6 	57.7 bd	58.1 	58.7 	58.7 	57.9 
HLY_F,DK	69 	68.4 	67.2 	67.4 	61 bd	60.4 	61.4 	59.4 	61.4 
HLY_F,EE	53.8 d	52.4 	53.9 	54.9 	57.5 bd	59.2 	58.2 	57.9 	57.2 
HLY_F,EL	65.5 d	67.4 	68.1 	67.4 	66.1 bd	66.8 	67.7 	66.9 	64.9 
HLY_F,ES	62.7 d	63.4 	63.5 	63.2 	63.6 bd	62.2 	63.9 	65.8 	65.8 
HLY_F,EU27	: 	62.5 e	62.5 e	62.6 	62.2 	62 	62.7 	: 	: 
HLY_F,EU28	: 	: 	: 	: 	: 	: 	62.7 	62.2 	62.1 
HLY_F,FI	53.1 d	52.5 	52.8 	58 bd	59.5 	58.6 	58.2 	58.3 	56.2 
HLY_F,FR	64.3 	64.6 	64.4 	64.4 	64.6 	63.5 	63.4 	63.6 	63.8 
HLY_F,HR	: 	: 	: 	: 	: 	: 	60.7 d	61.8 	64.2 
HLY_F,HU	: 	54.3 d	57.2 d	57.8 bd	58.3 	58.2 	58.6 	59.1 	60.5 
HLY_F,IE	64.2 	64 	64.9 	65.6 	65 	65.2 	67 	68.3 	68.5 
HLY_F,IS	62.5 d	65 	65.3 	71.6 bd	69.5 	68.9 	68.1 	67.7 	68.0 
HLY_F,IT	71 d	67.8 	64.7 bd	62.5 bd	61.9 	62.6 	67.6 bd	62.7 	61.5 
